Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
3/3/1993,25.281026528482624,25.36880787059541,25.245913991637508,25.35125160217285,280100,3,2,9,3,1993
3/4/1993,25.386343639873196,25.386343639873196,25.21078109741211,25.21078109741211,89500,4,3,9,3,1993
3/5/1993,25.245911100057253,25.351248698527588,25.123017235175194,25.140573501586914,40000,5,4,9,3,1993
3/8/1993,25.19323431077551,25.70236587524414,25.19323431077551,25.70236587524414,50800,8,0,10,3,1993
3/9/1993,25.649700309905064,25.66725657295086,25.561918994676095,25.614587783813477,169300,9,1,10,3,1993
3/10/1993,25.61458471144273,25.667253494262695,25.509247145802803,25.667253494262695,194400,10,2,10,3,1993
3/11/1993,25.68480621018691,25.755031244254408,25.56191240056879,25.59702491760254,70900,11,3,10,3,1993
3/12/1993,25.386338414372624,25.40389466500497,25.17566340678447,25.333669662475586,643600,12,4,10,3,1993
3/15/1993,25.31613670349121,25.456586837768555,25.31613670349121,25.456586837768555,310800,15,0,11,3,1993
3/16/1993,25.456586837768555,25.526811904907227,25.456586837768555,25.456586837768555,30800,16,1,11,3,1993
3/17/1993,25.42146061957503,25.42146061957503,25.263454303569386,25.298566818237305,21800,17,2,11,3,1993
3/18/1993,25.40391803741455,25.561924438476563,25.40391803741455,25.456586837768555,59300,18,3,11,3,1993
3/19/1993,25.559171835471158,25.559171835471158,25.418058395385742,25.418058395385742,66900,19,4,11,3,1993
3/22/1993,25.17111573149421,25.32986838852536,25.15347654737964,25.27695083618164,183400,22,0,12,3,1993
3/23/1993,25.34748077923873,25.365119944707928,25.29456328283113,25.32984161376953,55200,23,1,12,3,1993
3/24/1993,25.29456328283113,25.435676606584725,25.17108912454674,25.32984161376953,37200,24,2,12,3,1993
3/25/1993,25.347497802787174,25.54152875326084,25.31221945,25.488611221313477,110100,25,3,12,3,1993
3/26/1993,25.47097218,25.488611359354017,25.329858762652158,25.347497940063477,101500,26,4,12,3,1993
3/29/1993,25.365127510604808,25.57679755937202,25.365127510604808,25.453323364257812,87100,29,0,13,3,1993
3/30/1993,25.488605472904776,25.523883819580078,25.45332712622948,25.523883819580078,56000,30,1,13,3,1993
